637951388701537564;337.2816;32;0;3.5;0.2;2;3099;1.12939657954179;-0.3420197;0.5603072;-0.3523173;0.6084466;0;2.5;0.01676472;2.496178;
637951388719521600;339.0805;32;0;3.5;0.2;2;1799;1.94552529182879;0.6427875;2.266045;0.5469281;2.238374;-0.3420197;0.5603072;-0.3523173;0.6084466;
637951388745627468;341.6907;32;0;3.5;0.2;2;2610;1.34099616858238;-0.8660251;0.9999995;-0.8419886;1.096968;0.6427875;2.266045;0.5469281;2.238374;
637951388761611055;343.2897;32;0;3.5;0.2;2;1599;2.18886804252658;0.9848077;1.673648;0.9231967;1.707093;-0.8660251;0.9999995;-0.8419886;1.096968;
637951388783605989;345.4886;32;0;3.5;0.2;2;2199;1.59163256025466;-0.9848078;1.673648;-0.9073992;1.69042;0.9848077;1.673648;0.9231967;1.707093;
637951388815586514;348.6872;32;0;3.5;0.2;2;3199;1.09409190371991;0.8660256;1;0.8368644;1.027766;-0.9848078;1.673648;-0.9073992;1.69042;
637951388829579650;350.0865;32;0;3.5;0.2;2;1399;2.50178699070765;-0.6427882;2.266044;-0.5542666;2.236717;0.8660256;1;0.8368644;1.027766;
637951388846573468;351.786;32;0;3.5;0.2;2;1700;2.05882352941176;0.3420205;0.5603075;0.2958301;0.6320094;-0.6427882;2.266044;-0.5542666;2.236717;
637951388873679664;354.496;32;0;1.5;1.1;2;1811;0.82827167310878;-0.3420197;0.5603072;-0.232979;0.9162102;0;2.5;0.05167716;2.431366;
637951388883660424;355.4956;32;0;1.5;1.1;2;1000;1.5;0.6427875;2.266045;0.4855236;2.030944;-0.3420197;0.5603072;-0.232979;0.9162102;
637951388896652543;356.7946;32;0;1.5;1.1;2;1299;1.15473441108545;-0.8660251;0.9999995;-0.6867273;1.361816;0.6427875;2.266045;0.4855236;2.030944;
637951388916637032;358.7935;32;0;1.5;1.1;2;1999;0.750375187593797;0.9848077;1.673648;0.8233944;1.808438;-0.8660251;0.9999995;-0.6867273;1.361816;
637951388926629275;359.793;32;0;1.5;1.1;2;999;1.5015015015015;-0.9848078;1.673648;-0.6659111;1.778683;0.9848077;1.673648;0.8233944;1.808438;
637951388940632420;361.1925;32;0;1.5;1.1;2;1400;1.07142857142857;0.8660256;1;0.7887227;1.500346;-0.9848078;1.673648;-0.6659111;1.778683;
637951388951624888;362.2922;32;0;1.5;1.1;2;1100;1.36363636363636;-0.6427882;2.266044;-0.4041626;2.011577;0.8660256;1;0.7887227;1.500346;
637951388962617357;363.3916;32;0;1.5;1.1;2;1099;1.36487716105551;0.3420205;0.5603075;0.273021;0.9299358;-0.6427882;2.266044;-0.4041626;2.011577;
637951389003706585;367.5008;32;0;3;0.2;1.4;2199;1.36425648021828;-0.2394138;0.8422151;-0.1754042;0.912191;0;2.2;-0.01013483;2.198367;
637951389018699956;369.0002;32;0;3;0.2;1.4;1499;2.00133422281521;0.4499513;2.036231;0.3809336;2.04513;-0.2394138;0.8422151;-0.1754042;0.912191;
637951389052687588;372.3983;32;0;3;0.2;1.4;3398;0.882872277810477;-0.6062176;1.15;-0.5723389;1.150209;0.4499513;2.036231;0.3809336;2.04513;
637951389065680506;373.6978;32;0;3;0.2;1.4;1299;2.3094688221709;0.6893654;1.621554;0.609725;1.601203;-0.6062176;1.15;-0.5723389;1.150209;
637951389083674548;375.497;32;0;3;0.2;1.4;1799;1.66759310728182;-0.6893655;1.621553;-0.6888831;1.650708;0.6893654;1.621554;0.609725;1.601203;
637951389125653979;379.695;32;0;3;0.2;1.4;4198;0.714626012386851;0.6062179;1.15;0.6277302;1.151241;-0.6893655;1.621553;-0.6888831;1.650708;
637951389162742305;383.4044;32;0;3;0.2;1.4;3709;0.808843354003775;-0.4499517;2.036231;-0.4432966;2.026567;0.6062179;1.15;0.6277302;1.151241;
637951389188738969;386.0033;32;0;3;0.2;1.4;2599;1.15429011158138;0.2394144;0.8422153;0.2114322;0.9144394;-0.4499517;2.036231;-0.4432966;2.026567;
637951389222721230;389.4015;32;0;2;0.6;1.8;2393;0.835770998746344;-0.3078177;0.6542765;-0.2217622;0.8269364;0;2.4;-0.009959714;2.242028;
637951389241715493;391.3009;32;0;2;0.6;1.8;1899;1.05318588730911;0.5785087;2.18944;0.556847;2.254464;-0.3078177;0.6542765;-0.2217622;0.8269364;
637951389268809844;394.0104;32;0;2;0.6;1.8;2710;0.738007380073801;-0.7794226;1.05;-0.7387335;1.096351;0.5785087;2.18944;0.556847;2.254464;
637951389282802989;395.41;32;0;2;0.6;1.8;1400;1.42857142857143;0.8863269;1.656283;0.6894134;1.670735;-0.7794226;1.05;-0.7387335;1.096351;
637951389295795906;396.7092;32;0;2;0.6;1.8;1299;1.53964588144727;-0.8863271;1.656283;-0.70619;1.623447;0.8863269;1.656283;0.6894134;1.670735;
637951389309789049;398.1089;32;0;2;0.6;1.8;1400;1.42857142857143;0.779423;1.05;0.7433769;1.283633;-0.8863271;1.656283;-0.70619;1.623447;
637951389320781518;399.2083;32;0;2;0.6;1.8;1099;1.81983621474067;-0.5785094;2.18944;-0.6157482;2.19035;0.779423;1.05;0.7433769;1.283633;
637951389340776008;401.2072;32;0;2;0.6;1.8;1999;1.00050025012506;0.3078185;0.6542768;0.2708619;0.8357767;-0.5785094;2.18944;-0.6157482;2.19035;
637951389420853993;409.2148;32;0;4.5;0.1;2.2;3199;1.40668959049703;-0.3762217;0.4663379;-0.3791234;0.5111374;0;2.6;-0.0001777532;2.586978;
